LSOA11CD,total_length_meters_2011,length_meters_2020
E01001415,1245.8,1264.4
E01001417,3060.8,3668.3
E01001418,726.6,727.6
E01001419,405.9,823.8
E01001420,103.2,112.0
E01001427,283.2,3831.2
E01001437,1852.8,5667.4
E01001452,10.4,436.7
E01001456,3.0,255.5
E01001457,51.2,111.0
E01001470,1264.7,1497.5
E01001475,251.1,318.8
E01001477,605.8,1393.8
E01001483,731.5,1211.5
E01001499,97.0,558.4
E01001506,1704.9,4418.0
E01001534,613.3,729.6
E01001535,422.0,731.1
E01001559,1348.5,2956.5
E01001580,15.7,138.7
E01001582,20.6,124.3
E01001583,134.0,448.7
E01001597,75.0,355.1
E01001615,383.0,1167.5
E01001621,77.7,479.8
E01001638,114.8,366.8
E01001640,326.1,681.6
E01001641,502.6,1134.8
E01001642,1480.2,3031.9
E01001644,141.5,126.2
E01001647,228.7,538.4
E01001652,227.2,238.3
E01001655,489.6,362.3
E01001662,0.5,31.6
E01001664,11.5,56.0
E01001665,17.5,415.7
E01001667,2581.6,8217.9
E01001668,68.1,1026.5
E01001687,617.8,2059.6
E01001688,682.5,1819.5
E01001701,4.5,683.9
E01001709,1343.3,3090.9
E01001711,671.0,913.6
E01001712,327.0,603.0
E01001714,8.3,11.3
E01001716,13.4,13.4
E01001718,7.5,10.9
E01001730,24.4,333.8
E01001731,34.8,329.2
E01001734,207.2,293.4
E01001735,430.3,538.3
E01001736,31.2,33.0
E01001740,26.1,99.1
E01001745,1.5,7.5
E01001748,99.4,25.2
E01001750,273.0,121.8
E01001751,115.2,148.5
E01001752,265.4,21.4
E01001753,201.7,209.6
E01001754,181.2,158.1
E01001762,59.4,141.7
E01001763,89.3,149.8
E01001767,26.8,0
E01001770,86.5,103.7
E01001772,7.7,35.7
E01001773,694.0,117.1
E01001774,368.3,151.9
E01001775,105.8,0
E01001780,221.2,97.3
E01001782,625.7,71.0
E01001783,5.7,0.4
E01001784,1.4,24.2
E01001785,1.1,0
E01001786,4147.7,6259.0
E01001787,766.1,1370.8
E01001788,387.1,398.5
E01001790,50.8,50.9
E01001791,20.6,232.7
E01001793,74.9,162.4
E01001795,1.4,95.6
E01001798,1.3,43.9
E01001809,2.5,46.5
E01001815,127.3,360.9
E01001816,16.3,191.7
E01001819,17.9,27.2
E01001820,170.1,41.3
E01001821,306.4,6.9
E01001823,570.1,561.9
E01001824,4.7,359.5
E01001833,9.5,36.7
E01001835,45.6,46.5
E01001836,47.6,0.3
